hex,red,green,blue,prevalence
#88a9c3,136,169,195,24.2
#5c6043,92,96,67,19.2
#36382c,54,56,44,18.6
#788381,120,131,129,16.1
#11120e,17,18,14,11.7
#c7cac6,199,202,198,10.1
