hex,red,green,blue,prevalence
#efe5da,239,229,218,42.2
#dcd0c2,220,208,194,20.8
#b8beca,184,190,202,17.1
#8ba0bb,139,160,187,8.9
#cab191,202,177,145,7.5
#487297,72,114,151,3.5
