hex,red,green,blue,prevalence
#f3f7ea,243,247,234,27.2
#8ca4af,140,164,175,15.3
#738f9c,115,143,156,14.5
#5c7883,92,120,131,11.6
#495e62,73,94,98,10.2
#35423e,53,66,62,8.4
#abbcc3,171,188,195,6.8
#1a2422,26,36,34,5.9
