hex,red,green,blue,prevalence
#8aaac4,138,170,196,24.1
#788686,120,134,134,15.5
#636745,99,103,69,15.0
#46483a,70,72,58,14.4
#292c21,41,44,33,13.4
#cacbc7,202,203,199,9.3
#0c0d09,12,13,9,8.2
