hex,red,green,blue,prevalence
#392b33,57,43,51,23.6
#261b23,38,27,35,21.7
#e4ebee,228,235,238,21.5
#4e3d45,78,61,69,15.4
#63575e,99,87,94,10.2
#807a7d,128,122,125,3.9
#cab6a2,202,182,162,3.6
