hex,red,green,blue,prevalence
#c3c2ca,195,194,202,32.1
#afb2c0,175,178,192,12.8
#286ca6,40,108,166,11.2
#4d7eb2,77,126,178,10.1
#929fb8,146,159,184,9.9
#728db1,114,141,177,8.2
#ebe9e9,235,233,233,8.1
#d5d3d6,213,211,214,7.6
