hex,red,green,blue,prevalence
#d9bed5,217,190,213,23.3
#bebad9,190,186,217,22.1
#e9d1de,233,209,222,21.5
#a6a1ca,166,161,202,10.5
#08456a,8,69,106,9.3
#7b86b8,123,134,184,8.2
#2e6797,46,103,151,2.9
#05131c,5,19,28,2.2
