hex,red,green,blue,prevalence
#f0e5db,240,229,219,40.5
#dfd2c3,223,210,195,19.4
#c0c4cb,192,196,203,14.9
#9fadc2,159,173,194,9.7
#cbb393,203,179,147,8.2
#7192b4,113,146,180,5.1
#3e678b,62,103,139,2.2
