hex,red,green,blue,prevalence
#99a98f,153,169,143,17.8
#accff0,172,207,240,16.8
#515e6d,81,94,109,15.0
#6eade5,110,173,229,13.8
#85807b,133,128,123,12.7
#d2b590,210,181,144,11.6
#efd8ba,239,216,186,7.4
#2d261d,45,38,29,4.8
