hex,red,green,blue,prevalence
#6297cd,98,151,205,25.4
#2f3129,47,49,41,19.1
#454a42,69,74,66,18.2
#181812,24,24,18,13.2
#84b2de,132,178,222,10.0
#030303,3,3,3,7.3
#656c6b,101,108,107,6.7
