hex,red,green,blue,prevalence
#c5c4cc,197,196,204,34.8
#b1b3c1,177,179,193,14.1
#286ca6,40,108,166,11.2
#e7e5e5,231,229,229,11.1
#4e7fb2,78,127,178,10.4
#93a0b8,147,160,184,10.2
#748eb2,116,142,178,8.2
