hex,red,green,blue,prevalence
#ca8b4e,202,139,78,16.8
#a87a4b,168,122,75,16.0
#896035,137,96,53,13.9
#694d31,105,77,49,13.4
#eba163,235,161,99,12.3
#443a32,68,58,50,12.3
#fcc69d,252,198,157,8.9
#fef0e5,254,240,229,6.4
