hex,red,green,blue,prevalence
#281d25,40,29,37,26.8
#3f2f37,63,47,55,25.3
#e5eaed,229,234,237,21.8
#574850,87,72,80,14.6
#736a6f,115,106,111,7.7
#c1af9f,193,175,159,3.8
