hex,red,green,blue,prevalence
#f3f6e9,243,246,233,27.5
#77929f,119,146,159,20.5
#9bafb9,155,175,185,16.7
#58727b,88,114,123,15.0
#3e4f4f,62,79,79,12.3
#1f2926,31,41,38,8.1
