hex,red,green,blue,prevalence
#6296cc,98,150,204,25.4
#40443d,64,68,61,22.9
#26281f,38,40,31,20.8
#070706,7,7,6,12.7
#83b2de,131,178,222,10.2
#626865,98,104,101,8.0
