hex,red,green,blue,prevalence
#bdcfd6,189,207,214,19.5
#e6ecf0,230,236,240,19.2
#212227,33,34,39,16.0
#98b1b9,152,177,185,14.8
#393b41,57,59,65,13.5
#5c5d62,92,93,98,9.1
#7f8b91,127,139,145,8.1
