hex,red,green,blue,prevalence
#e9eef2,233,238,242,16.4
#c6d5dc,198,213,220,16.4
#a5bdc5,165,189,197,14.3
#1f2025,31,32,37,13.1
#33343a,51,52,58,12.7
#8a9fa6,138,159,166,11.0
#4d4f55,77,79,85,9.1
#6f7277,111,114,119,7.0
