hex,red,green,blue,prevalence
#a5ab8e,165,171,142,22.5
#adcff0,173,207,240,16.8
#515e6d,81,94,109,15.2
#6eade5,110,173,229,13.9
#e5cba9,229,203,169,13.5
#86817c,134,129,124,13.2
#2d261d,45,38,29,4.8
