hex,red,green,blue,prevalence
#f0e6db,240,230,219,37.8
#e2d6ca,226,214,202,17.8
#c0c4cc,192,196,204,15.0
#9fadc2,159,173,194,9.8
#d7c1a5,215,193,165,8.9
#6e91b5,110,145,181,4.8
#bfa583,191,165,131,3.7
#3e668a,62,102,138,2.1
