hex,red,green,blue,prevalence
#6297cd,98,151,205,25.4
#2d2f26,45,47,38,18.3
#161610,22,22,16,12.6
#4b492f,75,73,47,11.8
#84b2de,132,178,222,10.0
#3b4655,59,70,85,8.8
#020202,2,2,2,6.7
#656d6e,101,109,110,6.5
