hex,red,green,blue,prevalence
#bb844d,187,132,77,20.0
#74532f,116,83,47,17.5
#e19858,225,152,88,15.3
#473c33,71,60,51,14.9
#976e42,151,110,66,14.2
#fabe90,250,190,144,10.8
#feeddf,254,237,223,7.3
