hex,red,green,blue,prevalence
#a8794a,168,121,74,21.4
#d49051,212,144,81,20.6
#7b5730,123,87,48,20.2
#4a3d33,74,61,51,16.3
#f7b683,247,182,131,12.9
#fee9d9,254,233,217,8.6
