hex,red,green,blue,prevalence
#e4ebef,228,235,239,21.1
#34272f,52,39,47,20.9
#241a21,36,26,33,17.3
#46353d,70,53,61,16.7
#594a51,89,74,81,11.3
#6f666b,111,102,107,7.3
#dbc0a5,219,192,165,3.1
#9a9593,154,149,147,2.4
