hex,red,green,blue,prevalence
#cabcd6,202,188,214,37.8
#e7cfdd,231,207,221,26.8
#a7a4cd,167,164,205,12.5
#08456a,8,69,106,9.3
#7b87b8,123,135,184,8.5
#2f6797,47,103,151,2.9
#05131c,5,19,28,2.2
