hex,red,green,blue,prevalence
#acad8e,172,173,142,24.1
#d1d3d1,209,211,209,21.9
#79b4e9,121,180,233,19.4
#525f6e,82,95,110,15.7
#89857e,137,133,126,14.1
#2d261d,45,38,29,4.9
