hex,red,green,blue,prevalence
#f3f6ea,243,246,234,27.3
#829ba7,130,155,167,19.3
#64818c,100,129,140,15.5
#4c6267,76,98,103,12.0
#a3b6bf,163,182,191,10.7
#364340,54,67,64,9.0
#1b2522,27,37,34,6.1
